Datetime,Tweet Id,Text,Username
2022-01-24 02:05:25+00:00,1.49E+18,"SMA 🐍, вот как
#SMArigged https://t.co/lQ2JXJICTt",just_kunfused
2022-01-24 02:04:56+00:00,1.49E+18,#SMArigged tf just happened??? https://t.co/NZ7suXRnom,Mltfndom_
2022-01-24 02:01:27+00:00,1.49E+18,@cloudiejs_ #SMArigged wkwkwk gedek ya😂,hcjmrkanx_
2022-01-24 02:01:11+00:00,1.49E+18,#SMArigged https://t.co/LLTHBGO0Km,almahcgf
2022-01-24 02:00:16+00:00,1.49E+18,#smarigged https://t.co/alAAFqsVpq,gaeulfad
2022-01-24 01:59:54+00:00,1.49E+18,"Nonton mv cysm jadi kesel lagi sama Sekolah Award Burik.

Hi SMA, Can't you see me? Who's a liar? Hm? 🤨

#SMArigged https://t.co/DY48fEBTYN",Alwaysness05
2022-01-24 01:59:54+00:00,1.49E+18,@hcjmrkanx_ Wkwk sekalian kak #SMArigged 😂,cloudiejs_
2022-01-24 01:59:22+00:00,1.49E+18,"Kalau lu milihnya pake cap cip cup lu ngapain ngadain voting 40 hari goblok. Mau tahililan orang meninggal atau begimana lu setan 

#SMArigged https://t.co/TfYhVjnjFQ",tubatu_is_magic
2022-01-24 01:58:54+00:00,1.49E+18,"gatau dah aneh bgt ga terima,tp ya ktnya si suruh sabar,sabar,sabar #SMARigged https://t.co/5LAsQw0bZ7",rencutieyellow0
2022-01-24 01:58:46+00:00,1.49E+18,"congratulations for all the winners of SMA yesterday. for the monster voters fandoms who their idols didn’t win, you guys are still mvp. to all the panelist &amp; award buyer, may 2022 be one hell of a year for you (yes, I meant HELL) #SMArigged",beombomgom
2022-01-24 01:57:56+00:00,1.49E+18,You know #SMArigged when #aespa and #NCTDREAM didn’t win supposed award because of their impact in 2022 💅🏻 https://t.co/DYrJPTG1Jk,naddy4zi
2022-01-24 01:57:23+00:00,1.49E+18,"buat lo yg masih belain ni acara, lo aneh. ya semoga aja idol lo gapernah dicurangin aja deh ya.. ahahah mending lo diem deh, lo ga diajak! #SMArigged",xzeee_
2022-01-24 01:54:29+00:00,1.49E+18,"@ILoveASTRO10 Dude it was seoul manipulation awards. We got it all wrong. Don't even get me started, I thought I read it correctly.🙄
#SMARigged",Minionchaeunwoo
2022-01-24 01:54:23+00:00,1.49E+18,ive roty #SMA_RespectIVE #SMARigged,kejusite
2022-01-24 01:54:20+00:00,1.49E+18,#SMArigged https://t.co/4BLCivCEfg,RahmatRiadi94
2022-01-24 01:53:47+00:00,1.49E+18,@hialiceblue peak joke #SMArigged,jenoisnt
2022-01-24 01:53:45+00:00,1.49E+18,"Yg sebelum2nya gue bahkan ga banyak omong ttg award, tapi kali ini kesel bgt, vote juga sia2 bgt #SMArigged",likerainbow6
2022-01-24 01:52:49+00:00,1.49E+18,"robbed #SMArigged
https://t.co/zvaNKyMJIh",hamtarozaki
2022-01-24 01:52:33+00:00,1.49E+18,"Ensitizens said we are Family.
But ensitizens also celebrate victory when other units are rigged
💩bersyukur katanya
 #SMArigged",likerainbow6
2022-01-24 01:52:28+00:00,1.49E+18,yes ahahahahahah #SMArigged https://t.co/Y1K8giSvQ3,xzeee_
2022-01-24 01:51:56+00:00,1.49E+18,Fuck SMA #SMArigged,stfubtchys
2022-01-24 01:51:10+00:00,1.49E+18,"SMA has been proven once again to be an attendance awards show;
such a waste of time, effort, and money.

 So unprofessional. Very unethical.

#SMARIGGED",protectsrose
2022-01-24 01:49:20+00:00,1.49E+18,"if sma didn't want to gave the roty to ive then they shouldn't put ive as one of the candidate in the first place 😒
#SMArigged",ive_izone_moots
2022-01-24 01:47:51+00:00,1.49E+18,Gara gara #SMArigged gw gatau lg yg mna yg harus diperbaiki dalam urusan voting. Wkwk tau gtu ga usah mati matian vote yakan. Yg ga masuk final voting aja dpt. Mindset gw jd brubah total soal voting👎😃,cisoob
2022-01-24 01:47:05+00:00,1.49E+18,disappointed much #smarigged https://t.co/BrxMbrmw2m,skzhyunjinworld
2022-01-24 01:47:01+00:00,1.49E+18,After receive daesang 😜 #SMArigged https://t.co/MuO4AeeuHG,AbcNayun
2022-01-24 01:46:38+00:00,1.49E+18,They don't know that #EPEX is trending mainly because of #SMARigged lol but ok,oriyenugh
2022-01-24 01:45:58+00:00,1.49E+18,くそくらえ SMA (＃`Д´) #SMArigged,_rjm2
2022-01-24 01:41:47+00:00,1.49E+18,"@icedteabahi TXT didn't win :(( I didn't spend 40 days of voting and watching that ads just to txt win nothing! they are 2nd place in voting!

#SMArigged",yiyijaleh
